Prob.,Sols,StartC,InvC,CT,Bias,ViolQ,MQuQ,TQ,ALQ,PAQ,P1T(s),VT(s),MQuT(s),TT(s),ALT(s),PAT(s),precision,recall,s_precision,s_recall
Sudoku,2,77,50,27,8302,136,2449,2585,N/A,N/A,13.14,498.87,180.33,692.34,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,5,45,18,27,2664,109,1391,1500,N/A,N/A,2.97,329.24,117.25,449.46,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,10,29,2,27,1595,93,793,886,N/A,N/A,3.33,319.77,90.88,413.98,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku,50,27,0,27,812,91,1,92,N/A,N/A,21.02,313.63,0.05,334.7,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,2,77,74,37,9276,501,2953,3454,N/A,N/A,2.33,110.71,198.03,311.07,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,5,34,22,37,3164,62,1138,1200,N/A,N/A,2.96,88.38,76.8,168.14,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,10,30,18,37,1775,66,855,921,N/A,N/A,3.85,79.51,80.29,163.65,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,50,27,0,37,834,234,1,235,N/A,N/A,21.2,327.16,0.08,348.44,N/A,N/A,0.0,0.0,0.0,0.0
Latin Square,2,68,50,18,8452,99,1510,1609,N/A,N/A,2.63,438.33,186.34,627.3,N/A,N/A,72.16,100.0,0.0,0.0
Latin Square,5,32,14,18,2336,77,2198,2275,N/A,N/A,3.89,287.17,28122.29,28413.35,N/A,N/A,64.93,100.0,0.0,0.0
Latin Square,10,18,0,18,1423,63,2126,2189,N/A,N/A,14.53,280.09,613.88,908.5,N/A,N/A,62.43,100.0,0.0,0.0
Latin Square,50,18,0,18,649,63,1,64,N/A,N/A,20.46,279.92,0.05,300.43,N/A,N/A,100.0,100.0,0.0,0.0
Graph Coloring,2,10,2,5,176,32,72,104,N/A,N/A,1.78,1.86,0.85,4.49,N/A,N/A,36.14,100.0,0.0,0.0
Graph Coloring,5,10,2,5,140,32,62,94,N/A,N/A,1.89,1.04,0.65,3.58,N/A,N/A,37.97,100.0,0.0,0.0
Graph Coloring,10,10,2,5,117,32,51,83,N/A,N/A,2.15,1.12,0.58,3.85,N/A,N/A,42.25,100.0,0.0,0.0
Graph Coloring,50,10,2,5,50,32,28,60,N/A,N/A,5.97,1.11,0.54,7.62,N/A,N/A,83.33,100.0,0.0,0.0
ExamTT-V1,2,15,15,7,777,1,763,764,N/A,N/A,3.96,0.73,114.96,119.65,N/A,N/A,69.19,13.65,0.0,0.0
ExamTT-V1,5,15,15,7,469,1,681,682,N/A,N/A,5.88,0.7,86.62,93.2,N/A,N/A,96.09,21.52,0.0,0.0
ExamTT-V1,10,15,15,7,435,1,721,722,N/A,N/A,9.58,0.71,91.05,101.34,N/A,N/A,100.0,22.4,0.0,0.0
ExamTT-V1,50,15,15,7,435,1,701,702,N/A,N/A,41.92,0.69,84.6,127.21,N/A,N/A,100.0,22.4,0.0,0.0
ExamTT-V2,2,19,19,9,3042,1,3172,3173,N/A,N/A,10.23,2.42,935.11,947.76,N/A,N/A,56.37,29.15,0.0,0.0
ExamTT-V2,5,19,19,9,1988,1,3040,3041,N/A,N/A,22.22,3.68,624.64,650.54,N/A,N/A,79.64,51.96,0.0,0.0
ExamTT-V2,10,19,19,9,1798,1,2860,2861,N/A,N/A,40.33,2.58,622.41,665.32,N/A,N/A,82.7,52.94,0.0,0.0
ExamTT-V2,50,19,19,9,1540,1,2422,2423,N/A,N/A,208.22,2.52,475.31,686.05,N/A,N/A,93.3,58.08,0.0,0.0
Nurse,2,16,16,13,1621,1,1493,1494,N/A,N/A,2.03,0.21,190.88,193.12,N/A,N/A,21.32,23.53,0.0,0.0
Nurse,5,16,16,13,1591,1,1597,1598,N/A,N/A,2.42,0.22,255.34,257.98,N/A,N/A,20.59,24.22,0.0,0.0
Nurse,10,16,16,13,1533,1,1737,1738,N/A,N/A,3.07,0.22,248.62,251.91,N/A,N/A,20.94,24.57,0.0,0.0
Nurse,50,16,16,13,521,1,1158,1159,N/A,N/A,14.99,0.45,107.29,122.73,N/A,N/A,47.14,48.44,0.0,0.0
